뉴스 제목	댓글 내용	타입
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	대북전단 안보내면 되냐? 시작은 옥류관에서 냉면을 처먹은것이 발단이구만.  꿩만두만 먹지 랭면까지 왜 먹었냐? ㅋㅋㅋ 하여튼 돈가방 아주 큰걸로 준비해야겠는데? ㅋㅋㅋ	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	솔직히 지금 분위기 보면...서울에 미사일 떨어져도 평화를 위한 노력은 계속되어야 한다 이딴소리 할듯...100퍼	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	김정은 3대세습 독재자 한테는 저렇게 너그러운 인간이  대한민국 보수 국민한테는 왜 악마짓을 할까? 8천만국민? 대깨문들 만 이겠지. 하여튼  결론은 이리봐도 저리봐도 밸도 없는 모자란 새끼다.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	지가 약속해놓고 왜 또 국민을 파냐	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	문재앙을 국민이 끌어내려야 나라가 똑바로간다 국민들이여 모두 들고 일어나서 잡아 끌어내립시다! 어떻게 세운 이나라인데~~나라를 재앙이가 통째로 북괴뢰한테 받치게 내버려두겠습니까?	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	결국 지난 3년간 이룬게 북한의 멸시와 동맹국들의 이탈, 분열된 국론과 파탄난 경제뿐이네 ㅋㅋ 앞으로 남은 임기동안 걍 아무것도 하지 마라	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	옥류관 주방장이 개소리해도  깍소리못하고 진중권 교수가 한마디했다고 청화대전현직 비서관이  개때처럼달려들어 물어뜯고  창피한줄아시요	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	니가 말로만 협력이니 떠들어 댔지 그동안 진행한게 1도 없잖아. 그러고 또 같은 말로 떠드니 누가 믿겠냐?  삶은 개대가리가 웃겠다. 그  더러운 버릇  진짜못 고치네.  뇌가 있으면 생각좀하고 말해라. 비록 다른 넘이 써준거라도.	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	김씨 남매가 저리 버티고 있는데 먼수로 평화를 이룰건데? 제발 뜬구름좀 그만잡고 오거돈 때문에 부산내려온거나 밝혀라	
문대통령 "김정은과 8천만 겨레앞 평화약속 돌릴 수 없어"(종합)	우리를 욕하는 북괴에 대한 지적은 하나도 없고 그저 우리끼리 잘하면 알아서 평화가 찾아올 거라 믿는 저 지독한 신념은 도대체 어디서 배운 걸까요. 저기요 문재인 할아버지, 상대는 지금 우리를 적으로 돌렸어요. 언제까지 평화 타령이나 할 거에요?	
