뉴스 제목	댓글 내용	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문대통령은 국민이 뽑아준거지 북한이 그자리 준거 아닙니다. 국민보다 왜 북한이 먼저인지?	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	도대체 180석이 어디서 나온거야...도저히 이해가 안되네...인터넷 댓글보면 180석은 고사하고 80석도 힘들어!! 킹크랩이랑 정말 누구 말데로 중국 정부가 개입이 되어있나...상식적으로 납득이 안되네...그리고 남.북 문제.경제문제 특히 일자리와 주택문제나 다 한가지 공통점이 있어...가장 중요한게 현실에 기반을 두고 생각하지 않는다는 점이야....정치문제든 경제 문제든 모든 것이 현실에 기반을 두고 설령 아무리 주장이나 생각이 옳다고 하여도 시간이 경과하는데 역효과가 난다면 수정할 줄도 알아야 되는데 전혀 그런 것이 없다!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	김정은이랑 한 약속말고....대선초기에 국민과 약속이나 쫌 지킬것이지	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	북한 입장에서 좌파정권은 남침 도구에 지나지 않는다.... 이용 가치가 없으면 저렇게 나오는거야...공산당 입장에서 좌파는 그냥 침공 디딤돌에 지나지 않음	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	한반도 평화는 두놈만 죽으면 된다~ !	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	만약 내일 북한이 침공하면 문재인은 적과 싸우려고 하기는 할까?심히 궁금하다.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	얼콜중독 폭력 남편한테 술병으로 쳐맞고 사는데도 xx가 좋아서 못헤어지고 매달리는 자존감 한참 낮은 등신 아줌마를 보는 느낌.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	진짜 정신병자같다. 지 듣고싶은 대로 듣고 보고싶은대로 해석함.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	쩡은이한테 저리 처맞고도 정신을 못차리네... 노인네 고마 내려오소 감당도 못할 자리에 앉아서 국민들 불안하게 뭐하는 짓거리고...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	토착왜구는 잘 때려잡으면서 빨갱이는 왜 못 때리나	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	댓글을 안달수가 없는 발언만 하는구만....아...열불터져!!!!저 인간은 대통령감이 애시당초 아니였다. 한 나라 리더로서의 카리스마, 단호함, 경영 능력, 외교능력 등등!! 뭐하나 잘하는게 없어!! 감성팔이빼고!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	진짜 이정도면 문재인 어디 출신인지 의심스럽네...뭐가 있는게 분명함ㅋㅋㅋ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	재인이 너만하겠니? 넌 간이며 쓸개며 다 빼주고 있잖니. 이제 나라 통째로 홀랑 넘겨줄 일만 남았지.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	북한은 이판 사판 공사판,ㅡ남한은 주사판,내로남불판,저자세판,,,,,,,,,,	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	재인아! 정은이가 너보고 멍청이래!ㅉㅉㅉ 한심한 놈이다. 멍청이란 소리나 듣고.ㅉㅉㅉ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이 인간 똥내질르는건 잘해  실속도 없으면서 불쌍타 언제까지 돼지 바지가랑이만 잡고 하소연할거니!!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	삶은 소대가리 맞고요	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	김구선생은 헛것만 쫒아가다 이용당하고 죽임당했지. 그게 지금의 이북 정권이야아직도	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	핵무기 10~20기 더 늘렸다는데 비핵화에 정으니가 노력을 해? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	야 미친 재앙아~!!!!!!! 달창 재앙아~!!!!!! 그냥 북으로 가서 어린 돼지새기 후장을 빨아 줘 그냥~!!!!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	야이 모지리야 ㅋㅋㅋ 냉면 한번 같이 먹었다고 절친됐냐	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	180석 부정선거로 만들어진 가짜의원. 가짜대통령. 가짜의회. 이 나라는 모든게 가짜됨	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	평화는 개뿔. 남북 모두 중국에 갖다 바치려 술수 부리는거지. 중국몽 환자색히.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	울산 선거 개입, 한국 경제 초토화, 예산 낭비, 부정선거..... 문재인 사형!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	문재인 탄핵이 더 시급하다(공감) vs 김정은 버르장머리 고치는게 더 시급하다(비공감)	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	윤미향의 정의연 사건은??? 거액의 자금세탁이 현 살아계신 분의 통장으로 이뤄졌다고 증언했는데??? 5천만원 기부금 조차도 기부자 명단에서 빠졌다고 하는데???	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	윤미향이는 요즘 뭐하노	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이시점에 무슨 개소리냐	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이게 무슨....자화자찬이네...북한의 꾀에 넘어 간거 아니였나...	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	김정은이 인민들 몇백만굶겨죽인  살인마인데 전세계가다아는사닐  문재인만 모르나보다	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	이게 뭔 갸소리야? ㅡ.ㅡ	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	제정신 아니네 구걸좀 그만해라	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	대통령직에서 하야하고 북한으로망명하라 아오지 탄광서 반성 하시길다 당신 탓 문재인  탓 이오.	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	대체 김정은 대변인에 180석 몰아준 대한민국 클라쓰	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	그래서 어르신들이 문제인 대통령되면 큰일난다고 나라가 빨갱이 된다고들 하셨구나 !!!!	
문 대통령 "한반도 정세 전환하려고 했던 김정은의 결단·노력 잘 안다"	부정 선거 의혹이나 좀 밝히시죠?	
